"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 18:22:05 IST 2024","Mon Jan 29 18:22:09 IST 2024","3682","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","validLoginUsePhoneTest","validLoginUsePhoneTest",""
"failed","Mon Jan 29 18:22:25 IST 2024","Mon Jan 29 18:22:29 IST 2024","3439","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","forgotPasswordUsingValidEmailInvalidOTPTest","forgotPasswordUsingValidEmailInvalidOTPTest",""
"passed","Mon Jan 29 18:22:02 IST 2024","Mon Jan 29 18:22:02 IST 2024","400","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","signInURLTest","signInURLTest",""
"passed","Mon Jan 29 18:22:11 IST 2024","Mon Jan 29 18:22:15 IST 2024","4027","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","invalidLoginUsePhone","invalidLoginUsePhone",""
"passed","Mon Jan 29 18:22:19 IST 2024","Mon Jan 29 18:22:21 IST 2024","1901","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","forgotpasswordUsindInvalidPhoneTest","forgotpasswordUsindInvalidPhoneTest",""
"passed","Mon Jan 29 18:22:01 IST 2024","Mon Jan 29 18:22:01 IST 2024","482","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","signInTitleTest","signInTitleTest",""
"passed","Mon Jan 29 18:22:15 IST 2024","Mon Jan 29 18:22:18 IST 2024","3251","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","invalidLoginUseWrongemailFormat","invalidLoginUseWrongemailFormat",""
"passed","Mon Jan 29 18:22:02 IST 2024","Mon Jan 29 18:22:05 IST 2024","2860","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","validLoginUseEmailTest","validLoginUseEmailTest",""
"passed","Mon Jan 29 18:22:09 IST 2024","Mon Jan 29 18:22:11 IST 2024","1994","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","invalidLoginUseEmail","invalidLoginUseEmail",""
"passed","Mon Jan 29 18:22:18 IST 2024","Mon Jan 29 18:22:19 IST 2024","1296","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","invalidLoginUseWrongPhoneFormat","invalidLoginUseWrongPhoneFormat",""
"passed","Mon Jan 29 18:22:21 IST 2024","Mon Jan 29 18:22:25 IST 2024","3957","Cams Member Portal Automation Test Results PW Suite","Member Login Page Test","camsMemberPortal.testpackage.memberSignInTest","camsMemberPortal.testpackage.memberSignInTest","forgotpasswordUsindInvalidEmailTest","forgotpasswordUsindInvalidEmailTest",""
